followers_count,friends_count,Bot_or_Not
704,0,1
22,111,1
746457,358,0
528,145,0
311,2807,1
448,382,1
191240,748,0
1561117,333,0
607,0,1
41766,270,0
283,320,0
17786,1031,0
136289,6,0
24,147,1
167,108,1
623,1101,0
692,0,0
311971,5475,0
0,0,1
38,219,0
622471,409,0
1758422,542,0
74,68,0
17586,3108,0
4,1,1
32,212,0
17,26,1
849,1770,1
7182,1587,0
1420,2447,0
1124,4709,1
132,435,0
705,745,0
1375,271,0
38,0,0
4,0,1
500,2437,0
345298,273,0
12477,17906,1
290677,339,0
104,161,0
296,304,0
36,194,1
861,1238,0
80,693,1
142,295,0
0,0,0
104827,5,0
2280,2399,0
14,0,1
821,939,0
2,0,1
1350,1463,0
56,140,0
0,0,0
500,1243,0
520,419,1
1750257,12775,0
31,16,1
357886,9997,0
361242,20569,0
207,546,0
22724,3113,0
20,0,1
33,252,1
4,0,1
12743,937,0
627008,377,0
162780,955,0
1254,2139,0
7,0,1
166,409,1
2007,357,0
727,4140,0
1463302,1473166,1
12,0,1
673,629,0
239,3224,0
808,1181,0
83964,295,0
1,0,1
47,0,1
403554,402244,0
9644,10149,0
488058,523,0
112,244,1
233,1111,0
458,822,1
33,0,1
2850,1833,0
1582220,0,0
1089,322,0
10,0,1
9191,6132,0
25,56,0
1224498,273,0
469081,841,0
14,109,0
5,0,0
384676,26,0
163,180,0
236265,1057,0
120,0,0
250,1563,1
37,0,0
972,2150,0
21,0,1
339,376,1
1,17,1
26162,333,0
294,666,0
439,317,0
83,113,0
676032,402,0
99904,74376,1
504,417,0
319,297,0
5812417,354,0
39,423,0
2926315,810,0
15,0,1
1,0,0
434,1087,1
2446999,31,0
1343,4427,0
723,131,0
84437,1216,0
7384,1565,0
525,163,1
795,761,0
775,1205,0
184,2255,0
166,89,1
47,177,0
801138,710,0
10,0,1
15,0,1
53,0,1
5123,294,0
445,360,0
34557,423,0
833,25,1
1874581,2915,0
200,310,1
1363786,725,0
371033,455,0
0,0,0
0,0,0
9,53,0
4570,4753,0
1973139,26,1
1085652,95,0
25778,2913,0
307,74,0
626,235,0
0,0,1
9,17,1
6,0,0
100366,1009,0
26,0,1
0,0,1
473,185,1
121,420,0
2604,178,0
834612,14862,0
16,201,1
114,167,0
58,0,1
72,264,0
119,281,0
2799,810,0
235,0,1
7661,5671,0
801,1055,0
83827,1016,0
6,0,1
306,378,0
146,272,0
966,190,0
22238,1119,1
359214,59,0
224,41,1
346,160,0
347,326,0
2,21,1
23,99,1
1,0,0
8,0,1
1787622,2361,0
228,300,1
11555,535,0
686,261,0
267263,574,0
5,0,1
418,132,0
18406,54,0
0,0,1
191505,404,0
8,102,1
163,415,0
34,30,0
57,3,1
418,2722,1
316093,1648,0
2357,2026,0
964563,463,0
1149,620,0
248,125,0
28,40,0
103050,70,0
155,510,0
113,133,0
38,266,0
484,274,0
15510,1207,0
208,225,0
57,44,0
17189,3744,0
195,3545,0
4514,32,0
296,206,1
389,1166,0
0,0,0
115053,611,0
4821,422,0
4,0,1
75,82,0
4,48,1
1751,1863,0
1198,984,0
218,530,0
127,519,0
19,48,1
233634,3208,0
5,0,1
8,31,1
0,0,0
2,0,1
298,108,1
613283,447829,0
40123,2713,0
938,1058,0
348,0,0
212322,283,0
652,1208,0
4010513,150,0
1095411,0,0
250067,56496,0
0,0,1
1980,2288,0
24,27,1
0,0,1
138,456,0
26,62,1
772944,277,0
32,876,1
873,794,0
81,1000,1
4274,1917,0
10,224,1
76,1113,0
70,211,1
1791811,71,0
752,1536,0
1907,931,0
205,331,0
393,215,0
211304,256,0
11,0,1
1623,1750,0
4416,4043,0
27,22,1
9,29,1
153,186,0
952,869,1
606920,676,0
30,0,1
525782,2,0
899,1,1
1,0,0
27,24,0
1885637,115,0
104,0,1
142,310,1
2783,1078,0
82902,17912,0
5,46,1
552738,753,0
191405,634,0
120,328,0
56,179,1
4,55,1
155,0,1
5661,995,0
137715,536,0
424,2527,0
59608,6924,0
2,0,1
184976,1131,0
75990,46697,0
8,0,1
4,287,1
1084,2384,0
104023,2231,0
10,2,0
2002,1908,1
37,46,1
169753,2790,0
4,117,1
31144,3309,0
424,422,0
238,294,0
3,0,1
77,357,0
329,52,0
16593,256,0
1787267,103,0
29046,4209,0
349,677,0
2337,868,0
1122,3370,1
6841,7055,0
2497,689,0
15,67,0
1415463,4492,0
352,229,0
1928000,335,0
19408,523,0
180,607,0
290,162,0
6,0,1
13,27,0
9,90,0
31,649,1
9485,228,0
311,0,1
2988,1357,0
52,34,0
1079525,201,0
635,1212,0
206,0,1
938,565,0
92306,12899,0
1192,894,0
7294,7341,0
43,48,0
1,0,0
690,619,1
330,3368,0
698516,1064,0
457,559,1
110,771,1
918,1483,0
160,303,0
20,318,0
775,0,1
0,50,1
14498,117,0
1,0,1
207,380,0
1274,922,1
71587,62588,0
7,0,1
0,0,0
0,0,0
51,635,0
54,0,1
10,9,0
101,166,0
21,0,0
44,81,0
26,206,1
26,128,1
345,1645,0
81,214,0
33,0,1
36484,1012,0
184,99,0
15257882,96,0
32,115,0
1672795,1,0
2157,1141,0
264723,1140,0
50,139,1
230773,67258,0
289,454,0
76,223,0
327,1691,1
40,9,1
31,21,0
2399219,9,1
1249,194,0
3,97,1
0,0,1
154,116,0
842,600,0
970,2702,0
1305,1868,1
2047,643,0
464,566,1
20,0,1
33,44,1
230,550,0
10,64,0
1,0,1
136,467,0
3123,683,0
193,322,1
21,0,0
2,0,1
10,0,0
711342,361,0
38,0,1
22,67,1
1665871,50,0
838,930,1
15886561,31047,1
2367,4999,0
46,81,1
20,355,1
48,0,1
662,1511,1
109,583,0
39603,29994,1
17405,256,0
369,871,0
194,0,1
508,84,0
618660,2506,0
3888,2618,0
96,0,1
265107,609,0
21,54,1
511,2493,0
1880104,408,0
61,45,1
